n_drones,endurance,objective_value,elapsed_time
2,10,0.0,0.0
2,11,0.0,0.0
2,12,0.0,0.0
2,13,0.0,0.0
2,14,0.0,0.0
2,15,0.0,0.0
2,16,0.0,0.0
2,17,0.0,0.0
2,18,0.0,0.0
2,19,0.0,0.0
2,20,0.0,0.0
2,21,0.0,0.0
2,22,0.0,0.0
2,23,0.0,0.0
2,24,0.0,0.0
2,25,0.0,0.0
2,26,0.0,0.0
2,27,0.0,0.0
2,28,0.0,0.0
2,29,0.0,0.0
2,30,0.0,0.0
2,31,0.0,0.0
2,32,0.0,0.0
2,33,0.0,0.0
2,34,0.0,0.0
2,35,0.0,0.0
2,36,0.0,0.0
2,37,0.0,0.0
2,38,0.0,0.0
2,39,0.0,0.0
2,40,0.0,0.0
3,10,0.0,0.0
3,11,0.0,0.0
3,12,0.0,0.0
3,13,0.0,0.0
3,14,0.0,0.0
3,15,0.0,0.0
3,16,0.0,0.0
3,17,0.0,0.0
3,18,0.0,0.0
3,19,0.0,0.0
3,20,0.0,0.0
3,21,0.0,0.0
3,22,0.6818181818181818,0.0018181818181818182
3,23,0.7363636363636363,0.0009090909090909091
3,24,2.3727272727272726,0.014545454545454545
3,25,0.0,0.0
3,26,5.154545454545455,0.02727272727272728
3,27,1.1181818181818182,0.004545454545454546
3,28,3.9,0.06727272727272728
3,29,7.472727272727274,0.04454545454545455
3,30,6.381818181818182,0.057272727272727274
3,31,10.209090909090909,0.04818181818181819
3,32,7.645454545454546,0.04272727272727273
3,33,12.427272727272726,0.09818181818181819
3,34,9.936363636363637,0.07545454545454545
3,35,10.190909090909093,0.06363636363636364
3,36,10.736363636363638,0.05454545454545454
3,37,10.336363636363636,0.0818181818181818
3,38,10.1,0.12363636363636363
3,39,12.118181818181819,0.13363636363636366
3,40,10.736363636363638,0.12727272727272732
4,10,0.0,0.0
4,11,0.0,0.0
4,12,0.0,0.0
4,13,0.0,0.0
4,14,0.8545454545454546,0.009090909090909092
4,15,0.0,0.0
4,16,0.0,0.0
4,17,0.6181818181818182,0.0009090909090909091
4,18,2.2363636363636363,0.004545454545454546
4,19,1.1181818181818182,0.0009090909090909091
4,20,1.6636363636363634,0.0036363636363636364
4,21,6.109090909090909,0.012727272727272728
4,22,5.136363636363638,0.014545454545454545
4,23,6.4,0.019090909090909092
4,24,7.490909090909091,0.023636363636363636
4,25,6.136363636363637,0.024545454545454547
4,26,8.172727272727274,0.0781818181818182
4,27,7.518181818181819,0.04818181818181819
4,28,8.454545454545455,0.06636363636363637
4,29,8.463636363636365,0.19909090909090904
4,30,8.481818181818182,0.06272727272727274
4,31,7.872727272727272,0.06363636363636364
4,32,7.445454545454544,0.08181818181818183
4,33,7.5636363636363635,0.09000000000000002
4,34,7.245454545454546,0.12000000000000001
4,35,8.23636363630091,0.046363636363636364
4,36,7.190909090909091,0.05
4,37,7.145454545454545,0.059090909090909104
4,38,6.827272727272728,0.055454545454545465
4,39,7.118181818181818,0.05636363636363637
4,40,6.372727272673638,0.1109090909090909
5,10,0.0,0.0
5,11,0.0,0.0
5,12,0.0,0.0
5,13,0.0,0.0
5,14,0.0,0.0
5,15,0.0,0.0
5,16,0.0,0.0
5,17,2.2363636363636363,0.006363636363636363
5,18,1.4727272727272727,0.0036363636363636364
5,19,4.236363636363637,0.00818181818181818
5,20,8.263636363636365,0.02
5,21,6.118181818181819,0.018181818181818184
5,22,5.4363636363636365,0.048181818181818194
5,23,7.945454545454544,0.04727272727272727
5,24,8.090909090909092,0.03363636363636364
5,25,5.972727272727273,0.026363636363636367
5,26,6.127272727272726,0.03636363636363637
5,27,8.0,0.051818181818181826
5,28,6.490909090909091,0.05454545454545454
5,29,6.572727272727272,0.06000000000000001
5,30,5.772727272727273,0.042727272727272725
5,31,6.7272727272727275,0.06363636363636364
5,32,6.4,0.04000000000000001
5,33,5.672727272727273,0.049090909090909095
5,34,6.163636363636365,0.047272727272727265
5,35,5.963636363636365,0.03272727272727272
5,36,7.154545454545455,0.07545454545454545
5,37,5.500000000000001,0.02727272727272728
5,38,6.172727272675454,0.04363636363636363
5,39,6.036363636363637,0.046363636363636364
5,40,6.163636363636363,0.03272727272727272
6,10,0.0,0.0
6,11,0.0,0.0
6,12,0.0,0.0
6,13,0.0,0.0
6,14,0.0,0.0
6,15,0.0,0.0
6,16,0.0,0.0
6,17,0.0,0.0
6,18,2.372727272727273,0.0036363636363636364
6,19,6.663636363636363,0.01636363636363636
6,20,8.127272727272727,0.01909090909090909
6,21,5.890909090909091,0.022727272727272724
6,22,8.29090909090909,0.04818181818181819
6,23,7.245454545454547,0.042727272727272725
6,24,8.436363636363636,0.029090909090909087
6,25,6.918181818181818,0.04363636363636363
6,26,6.181818181818182,0.058181818181818175
6,27,5.327272727272727,0.04090909090909091
6,28,5.672727272727275,0.04363636363636364
6,29,7.627272727272729,0.11
6,30,6.081818181818182,0.07090909090909091
6,31,6.354545454545455,0.17181818181818184
6,32,6.2272727272727275,0.06181818181818182
6,33,5.690909090909091,0.05090909090909091
6,34,5.6000000000000005,0.059090909090909104
6,35,5.336363636363637,0.052727272727272734
6,36,5.527272727272727,0.04181818181818182
6,37,5.581818181818182,0.07818181818181819
6,38,5.372727272727272,0.057272727272727274
6,39,6.245454545454546,0.11272727272727275
6,40,6.300000000000001,0.09727272727272727
