n_drones,endurance,objective_value,elapsed_time
2,10,0.0,0.0
2,11,0.0,0.0
2,12,0.0,0.0
2,13,0.0,0.0
2,14,0.0,0.0
2,15,0.0,0.0
2,16,0.0,0.0
2,17,0.0,0.0
2,18,0.0,0.0
2,19,0.0,0.0
2,20,0.0,0.0
2,21,0.0,0.0
2,22,0.0,0.0
2,23,0.0,0.0
2,24,0.0,0.0
2,25,0.0,0.0
2,26,0.0,0.0
2,27,0.0,0.0
2,28,0.0,0.0
2,29,0.0,0.0
2,30,0.0,0.0
2,31,0.0,0.0
2,32,0.0,0.0
2,33,0.0,0.0
2,34,0.0,0.0
2,35,0.0,0.0
2,36,0.0,0.0
2,37,0.0,0.0
2,38,0.0,0.0
2,39,0.0,0.0
2,40,0.0,0.0
3,10,0.0,0.0
3,11,0.0,0.0
3,12,0.0,0.0
3,13,0.0,0.0
3,14,0.0,0.0
3,15,0.0,0.0
3,16,0.0,0.0
3,17,0.0,0.0
3,18,0.0,0.0
3,19,0.0,0.0
3,20,0.0,0.0
3,21,0.0,0.0
3,22,2.1149999999999998,0.0055
3,23,0.795,0.0005
3,24,1.0500000000000003,0.001
3,25,3.09,0.0035000000000000005
3,26,0.8949999999999999,0.006
3,27,2.45,0.004
3,28,2.3,0.0045
3,29,5.65,0.024
3,30,5.515000000000001,0.0455
3,31,7.735000000000001,0.073
3,32,12.105000000000004,0.08250000000000002
3,33,12.355,0.078
3,34,10.715000000000002,0.0795
3,35,9.690000000000001,0.07950000000000002
3,36,11.924999999999999,0.08500000000000002
3,37,11.054999999999998,0.06600000000000002
3,38,11.670000000000003,0.093
3,39,11.65,0.08400000000000003
3,40,11.68,0.06950000000000002
4,10,0.0,0.0
4,11,0.0,0.0
4,12,0.0,0.0
4,13,0.0,0.0
4,14,0.0,0.0
4,15,0.75,0.0005
4,16,0.0,0.0
4,17,0.5850000000000001,0.0005
4,18,1.0950000000000002,0.001
4,19,2.085,0.003
4,20,3.215,0.006500000000000001
4,21,4.130000000000001,0.008499999999999999
4,22,6.355,0.014500000000000002
4,23,4.945000000000001,0.017499999999999998
4,24,6.915000000000001,0.024
4,25,7.140000000000001,0.030000000000000006
4,26,7.785000000000001,0.027000000000000007
4,27,6.925,0.05000000000000001
4,28,7.394999999999999,0.07900000000000003
4,29,7.995,0.06150000000000002
4,30,7.1800000000000015,0.20749999999999996
4,31,7.750000000000002,0.27949999999999997
4,32,7.400000000000001,0.03750000000000001
4,33,7.999999999999998,0.5599999999999998
4,34,7.355000000000001,0.09200000000000003
4,35,6.9399999999999995,0.038500000000000006
4,36,7.215000000000001,0.03850000000000002
4,37,7.344999999999999,0.05150000000000001
4,38,7.515000000000001,0.05200000000000001
4,39,7.105000000000001,0.047000000000000014
4,40,7.775,0.0595
5,10,0.0,0.0
5,11,0.0,0.0
5,12,0.0,0.0
5,13,0.0,0.0
5,14,0.0,0.0
5,15,1.355,0.002
5,16,0.45499999999999996,0.0005
5,17,2.505,0.004
5,18,2.02,0.005
5,19,4.23,0.0085
5,20,4.6450000000000005,0.014000000000000002
5,21,8.475,0.023000000000000003
5,22,6.539999999999999,0.022000000000000006
5,23,7.169999999999999,0.021
5,24,8.245000000000001,0.03200000000000001
5,25,7.0200000000000005,0.028500000000000008
5,26,7.130000000000001,0.032
5,27,6.489999999999999,0.03800000000000001
5,28,6.92,0.0405
5,29,6.7700000000000005,0.045500000000000006
5,30,6.695000000000002,0.04250000000000001
5,31,6.220000000000001,0.032000000000000015
5,32,5.8,0.037
5,33,6.09,0.03650000000000002
5,34,6.955,0.04650000000000001
5,35,6.635000000000001,0.06250000000000001
5,36,7.720000000000003,0.0805
5,37,5.995,0.03900000000000001
5,38,6.655000000000001,0.03850000000000001
5,39,5.905000000000002,0.03550000000000002
5,40,6.025,0.043500000000000004
