n_drones,endurance,objective_value,elapsed_time
1,10,0.0,0.0
1,11,0.0,0.0
1,12,0.0,0.0
1,13,0.0,0.0
1,14,0.0,0.0
1,15,0.0,0.0
1,16,0.0,0.0
1,17,0.0,0.0
1,18,0.0,0.0
1,19,0.0,0.0
1,20,0.0,0.0
1,21,0.0,0.0
1,22,0.0,0.0
1,23,0.0,0.0
1,24,0.0,0.0
1,25,0.0,0.0
1,26,0.0,0.0
1,27,0.0,0.0
1,28,0.0,0.0
1,29,0.0,0.0
1,30,0.0,0.0
1,31,0.0,0.0
1,32,0.0,0.0
1,33,0.0,0.0
1,34,0.0,0.0
1,35,0.0,0.0
1,36,0.0,0.0
1,37,0.0,0.0
1,38,0.0,0.0
1,39,0.0,0.0
1,40,0.0,0.0
2,10,0.0,0.0
2,11,0.0,0.0
2,12,0.0,0.0
2,13,0.0,0.0
2,14,0.0,0.0
2,15,0.0,0.0
2,16,0.0,0.0
2,17,0.0,0.0
2,18,0.0,0.0
2,19,0.0,0.0
2,20,0.0,0.0
2,21,0.0,0.0
2,22,0.0,0.0
2,23,0.0,0.0
2,24,0.0,0.0
2,25,0.0,0.0
2,26,0.0,0.0
2,27,0.0,0.0
2,28,0.0,0.0
2,29,0.0,0.0
2,30,0.0,0.0
2,31,0.0,0.0
2,32,0.0,0.0
2,33,0.0,0.0
2,34,0.0,0.0
2,35,0.0,0.0
2,36,0.0,0.0
2,37,0.0,0.0
2,38,0.0,0.0
2,39,0.0,0.0
2,40,0.0,0.0
3,10,0.0,0.0
3,11,0.0,0.0
3,12,0.0,0.0
3,13,0.0,0.0
3,14,0.0,0.0
3,15,0.0,0.0
3,16,0.0,0.0
3,17,0.0,0.0
3,18,0.0,0.0
3,19,0.0,0.0
3,20,0.0,0.0
3,21,0.0,0.0
3,22,0.915,0.0015
3,23,1.335,0.001
3,24,3.715,0.006
3,25,1.4500000000000002,0.0015
3,26,2.9899999999999998,0.0035000000000000005
3,27,4.255,0.0115
3,28,3.1149999999999998,0.011000000000000001
3,29,7.950000000000001,0.03250000000000001
3,30,8.8,0.0315
3,31,5.415000000000002,0.028500000000000004
3,32,9.689999999999998,0.0725
3,33,7.31,0.07400000000000001
3,34,10.570000000000002,0.0665
3,35,11.945000000000002,0.085
3,36,11.790000000000003,0.11850000000000002
3,37,11.73,0.10250000000000004
3,38,12.839999999999998,0.1095
3,39,11.010000000000002,0.0825
3,40,13.954999999999998,0.09300000000000001
4,10,0.0,0.0
4,11,0.0,0.0
4,12,0.0,0.0
4,13,0.0,0.0
4,14,0.0,0.0
4,15,0.0,0.0
4,16,0.0,0.0
4,17,0.0,0.0
4,18,1.8900000000000001,0.004
4,19,0.6850000000000002,0.0005
4,20,2.5300000000000002,0.018
4,21,4.505000000000001,0.023000000000000003
4,22,5.3950000000000005,0.022
4,23,5.7,0.024
4,24,6.8050000000000015,0.04900000000000001
4,25,9.005,0.04650000000000001
4,26,7.5600000000000005,0.029000000000000005
4,27,7.385000000000001,0.04000000000000001
4,28,7.414999999999999,0.0425
4,29,8.09,0.04000000000000001
4,30,7.285000000000001,0.041500000000000016
4,31,7.67,0.04600000000000001
4,32,6.974999999999999,0.0325
4,33,6.920000000000002,0.043500000000000004
4,34,6.955000000000001,0.05800000000000002
4,35,6.870000000000002,0.07
4,36,7.914999999999999,0.07750000000000001
4,37,7.160000000000001,0.05350000000000001
4,38,7.595000000000001,0.06450000000000002
4,39,7.205000000000001,0.06800000000000002
4,40,7.165000000000001,0.11600000000000002
5,10,0.0,0.0
5,11,0.0,0.0
5,12,0.0,0.0
5,13,0.0,0.0
5,14,0.0,0.0
5,15,0.0,0.0
5,16,1.225,0.0015
5,17,0.7350000000000001,0.002
5,18,3.9549999999999996,0.008499999999999999
5,19,3.5249999999999995,0.012999999999999998
5,20,6.57,0.020500000000000004
5,21,6.34,0.020500000000000008
5,22,6.355000000000001,0.027500000000000007
5,23,7.730000000000001,0.03150000000000001
5,24,7.920000000000002,0.05350000000000001
5,25,6.985000000000001,0.03850000000000002
5,26,6.870000000000002,0.03200000000000001
5,27,6.935,0.04850000000000002
5,28,6.4350000000000005,0.04200000000000001
5,29,6.280000000000001,0.052000000000000005
5,30,6.754999999999998,0.06800000000000003
5,31,6.794999999999999,0.08400000000000003
5,32,6.6450000000000005,0.05
5,33,6.580000000000001,0.055000000000000014
5,34,5.95,0.04250000000000002
5,35,6.570000000000002,0.051500000000000004
5,36,6.545,0.05600000000000001
5,37,5.720000000000001,0.05400000000000001
5,38,7.205,0.06200000000000001
5,39,6.795,0.06950000000000002
5,40,6.665000000000001,0.06350000000000001
6,10,0.0,0.0
6,11,0.0,0.0
6,12,0.0,0.0
6,13,0.0,0.0
6,14,0.0,0.0
6,15,0.55,0.001
6,16,0.0,0.0
6,17,0.85,0.001
6,18,3.2700000000000005,0.0075000000000000015
6,19,4.94,0.017499999999999998
6,20,6.8,0.027000000000000007
6,21,6.150000000000001,0.025000000000000005
6,22,7.484999999999999,0.023
6,23,6.684999999999998,0.026000000000000013
6,24,6.485000000000001,0.035
6,25,5.995000000000001,0.0415
6,26,6.514999999972,0.041000000000000016
6,27,6.33,0.057000000000000016
6,28,6.584999999999999,0.06850000000000003
6,29,5.3500000000000005,0.043500000000000004
6,30,6.029999999999999,0.06950000000000003
6,31,5.705000000000001,0.08450000000000002
6,32,5.825000000000001,0.04550000000000002
6,33,5.575,0.07650000000000003
6,34,5.570000000000001,0.046000000000000006
6,35,5.705,0.07000000000000002
6,36,5.780000000000001,0.081
6,37,6.055000000000001,0.07250000000000001
6,38,5.925000000000002,0.06850000000000002
6,39,5.585000000000001,0.15650000000000003
6,40,5.775,0.09650000000000002
7,10,0.0,0.0
7,11,0.0,0.0
7,12,0.0,0.0
7,13,0.0,0.0
7,14,0.0,0.0
7,15,0.475,0.0005
7,16,1.9050000000000005,0.0045000000000000005
7,17,4.529999999999999,0.03400000000000001
7,18,5.859999999958501,0.018000000000000006
7,19,6.42,0.02
7,20,5.97,0.026000000000000006
7,21,6.7700000000000005,0.03350000000000001
7,22,6.7200000000000015,0.048
7,23,6.989999999999999,0.0415
7,24,6.335,0.03750000000000001
7,25,6.8100000000000005,0.04950000000000001
7,26,5.839999999999999,0.06000000000000001
7,27,5.69,0.069
7,28,5.71,0.05500000000000003
7,29,5.9750000000000005,0.05550000000000001
7,30,5.369999999999999,0.059999999999999984
7,31,5.375,0.055000000000000014
7,32,5.825,0.08050000000000003
7,33,5.465000000000001,0.050500000000000024
7,34,5.67,0.07200000000000002
7,35,5.750000000000001,0.1015
7,36,5.760000000000001,0.14
7,37,5.645,0.07450000000000004
7,38,5.045,0.0595
7,39,5.4,0.1335
7,40,5.705000000000001,0.08850000000000002
8,10,0.0,0.0
8,11,0.0,0.0
8,12,0.0,0.0
8,13,0.0,0.0
8,14,0.0,0.0
8,15,0.56,0.0015
8,16,1.59,0.0025
8,17,3.8950000000000005,0.0105
8,18,4.105,0.011
8,19,6.734999999999999,0.017
8,20,6.165000000000001,0.034
8,21,6.73999999992,0.04250000000000002
8,22,6.99,0.05200000000000001
8,23,6.485000000000001,0.07950000000000003
8,24,6.480000000000001,0.06250000000000003
8,25,6.125000000000001,0.08650000000000001
8,26,5.790000000000001,0.07800000000000003
8,27,5.855,0.05600000000000001
8,28,5.345,0.06600000000000002
8,29,5.539999999975,0.23399999999999999
8,30,5.615,0.13300000000000006
8,31,5.175,0.09500000000000003
8,32,5.705,0.08200000000000002
8,33,5.550000000000001,0.05300000000000001
8,34,5.630000000000001,0.06900000000000002
8,35,5.1450000000000005,0.075
8,36,5.460000000000001,0.06900000000000003
8,37,5.485,0.08050000000000003
8,38,4.925000000000001,0.11050000000000001
8,39,5.415000000000001,0.09150000000000004
8,40,5.215000000000002,0.10000000000000002
9,10,0.0,0.0
9,11,0.0,0.0
9,12,0.0,0.0
9,13,0.0,0.0
9,14,0.0,0.0
9,15,0.56,0.0025
9,16,1.53,0.004
9,17,2.08,0.006500000000000001
9,18,5.980000000000001,0.089
9,19,7.735000000000001,0.14950000000000002
9,20,7.669999999999999,0.07850000000000003
9,21,7.484999999958999,0.045
9,22,6.75,0.038500000000000006
9,23,6.42,0.04400000000000002
9,24,6.000000000000002,0.04250000000000002
9,25,6.399999999967999,0.05800000000000002
9,26,5.65,0.050000000000000024
9,27,5.415000000000001,0.08600000000000002
9,28,5.270000000000001,0.09700000000000002
9,29,5.550000000000001,0.08000000000000002
9,30,5.475,0.08400000000000003
9,31,5.130000000000001,0.09850000000000003
9,32,4.785000000000001,0.08700000000000004
9,33,5.0200000000000005,0.07450000000000004
9,34,5.2749999999999995,0.08600000000000003
9,35,4.915000000000001,0.10100000000000002
9,36,5.174999999999999,0.26450000000000007
9,37,5.640000000000001,0.14250000000000002
9,38,5.1000000000000005,0.1335
9,39,4.905,0.07100000000000004
9,40,5.579999999999999,0.08050000000000004
10,10,0.0,0.0
10,11,0.0,0.0
10,12,0.0,0.0
10,13,0.0,0.0
10,14,0.5399999999999999,0.003
10,15,0.45,0.002
10,16,0.47000000000000003,0.0025
10,17,4.49,0.012
10,18,5.615,0.019999999999999997
10,19,7.93,0.03150000000000001
10,20,8.290000000000001,0.031000000000000007
10,21,7.245,0.03300000000000001
10,22,6.894999999967001,0.03200000000000001
10,23,6.675000000000002,0.03850000000000001
10,24,5.92,0.051500000000000025
10,25,5.725,0.05000000000000001
10,26,5.289999999999999,0.06850000000000003
10,27,5.215,0.05950000000000002
10,28,5.000000000000001,0.06500000000000003
10,29,5.1000000000000005,0.0775
10,30,5.095000000000001,0.08300000000000002
10,31,4.755000000000001,0.08300000000000002
10,32,5.145000000000001,0.07750000000000004
10,33,4.9350000000000005,0.07050000000000003
10,34,4.805000000000001,0.07600000000000003
10,35,5.250000000000001,0.08150000000000002
10,36,5.025,0.07800000000000003
10,37,4.695,0.07550000000000003
10,38,5.085000000000001,0.1325
10,39,4.769999999999999,0.11500000000000003
10,40,5.040000000000001,0.10600000000000001
11,10,0.0,0.0
11,11,0.0,0.0
11,12,0.0,0.0
11,13,0.0,0.0
11,14,0.0,0.0
11,15,0.0,0.0
11,16,1.3649999999999998,0.006500000000000001
11,17,5.2700000000000005,0.023999999999999997
11,18,6.584999999999999,0.021500000000000002
11,19,7.919999999999999,0.031000000000000007
11,20,7.820000000000002,0.051500000000000004
11,21,7.3149999999599995,0.07850000000000003
11,22,7.084999999999999,0.036000000000000004
11,23,6.405000000000001,0.04500000000000002
11,24,5.864999999999999,0.05000000000000001
11,25,5.455,0.04900000000000002
11,26,5.250000000000001,0.05
11,27,5.29,0.05800000000000001
11,28,4.96,0.08950000000000002
11,29,5.17,0.05900000000000002
11,30,4.58,0.10400000000000002
11,31,5.220000000000001,0.07850000000000001
11,32,5.370000000000002,0.079
11,33,4.575000000000001,0.08200000000000005
11,34,4.74,0.198
11,35,4.695000000000001,0.07900000000000003
11,36,4.740000000000001,0.07800000000000001
11,37,4.8,0.14899999999999997
11,38,4.665000000000001,0.07500000000000004
11,39,4.94,0.08900000000000002
11,40,4.785000000000001,0.08500000000000002
12,10,0.0,0.0
12,11,0.0,0.0
12,12,0.0,0.0
12,13,0.0,0.0
12,14,0.0,0.0
12,15,0.0,0.0
12,16,2.55,0.006
12,17,4.369999999951501,0.015
12,18,7.619999999999999,0.03050000000000001
12,19,7.760000000000001,0.028500000000000004
12,20,6.909999999957,0.03150000000000001
12,21,7.415000000000001,0.04
12,22,6.9700000000000015,0.040000000000000015
12,23,6.385,0.04600000000000002
12,24,5.930000000000001,0.04750000000000001
12,25,5.705,0.05300000000000001
12,26,4.99,0.06600000000000002
12,27,5.045000000000001,0.06400000000000003
12,28,4.98,0.07550000000000003
12,29,4.650000000000001,0.07700000000000003
12,30,4.530000000000001,0.08200000000000003
12,31,4.665000000000001,0.093
12,32,4.665000000000001,0.08050000000000003
12,33,4.38,0.09050000000000002
12,34,4.955,0.09150000000000003
12,35,4.935000000000001,0.08100000000000003
12,36,4.735,0.08800000000000002
12,37,4.38,0.08950000000000004
12,38,4.575000000000001,0.17099999999999999
12,39,4.605000000000001,0.14999999999999997
12,40,4.575000000000001,0.179
13,10,0.0,0.0
13,11,0.0,0.0
13,12,0.0,0.0
13,13,0.0,0.0
13,14,0.0,0.0
13,15,0.0,0.0
13,16,1.59,0.005
13,17,3.0599999999999996,0.010499999999999999
13,18,6.495000000000002,0.026000000000000002
13,19,6.880000000000001,0.06650000000000002
13,20,8.255,0.04600000000000002
13,21,7.6850000000000005,0.043500000000000004
13,22,7.150000000000001,0.048000000000000015
13,23,6.510000000000001,0.0405
13,24,6.0499999999645,0.05200000000000001
13,25,5.21,0.05350000000000001
13,26,5.135,0.06050000000000001
13,27,4.879999999974,0.088
13,28,4.514999999999999,0.079
13,29,4.660000000000001,0.09200000000000003
13,30,4.365000000000001,0.08900000000000002
13,31,4.6800000000000015,0.10300000000000001
13,32,4.455,0.09450000000000004
13,33,4.605,0.10350000000000004
13,34,4.604999999999999,0.08700000000000002
13,35,4.695000000000001,0.09100000000000001
13,36,4.495000000000002,0.09300000000000003
13,37,4.625000000000001,0.10350000000000004
13,38,4.680000000000001,0.10300000000000002
13,39,4.590000000000002,0.09050000000000001
13,40,4.965000000000002,0.10850000000000004
14,10,0.0,0.0
14,11,0.0,0.0
14,12,0.0,0.0
14,13,0.0,0.0
14,14,0.0,0.0
14,15,0.0,0.0
14,16,1.64,0.004
14,17,3.975,0.014499999999999999
14,18,6.960000000000001,0.03550000000000001
14,19,9.190000000000001,0.041000000000000016
14,20,8.215,0.040500000000000015
14,21,7.605000000000001,0.04500000000000002
14,22,7.31,0.048000000000000015
14,23,6.529999999957002,0.05250000000000001
14,24,6.0,0.05000000000000001
14,25,5.304999999999999,0.06600000000000003
14,26,5.3,0.06600000000000002
14,27,4.77,0.08300000000000002
14,28,4.6249999999725,0.09250000000000004
14,29,4.365000000000001,0.09050000000000001
14,30,4.5600000000000005,0.1055
14,31,4.6049999999999995,0.10600000000000002
14,32,4.5600000000000005,0.10200000000000002
14,33,4.485000000000001,0.09250000000000003
14,34,4.620000000000001,0.10300000000000001
14,35,4.605000000000001,0.12100000000000004
14,36,4.365,0.10000000000000002
14,37,4.565,0.11450000000000002
14,38,4.785000000000001,0.10600000000000001
14,39,4.44,0.10550000000000004
14,40,4.590000000000001,0.15499999999999997
15,10,0.0,0.0
15,11,0.0,0.0
15,12,0.0,0.0
15,13,0.0,0.0
15,14,0.0,0.0
15,15,0.0,0.0
15,16,0.975,0.0035000000000000005
15,17,4.470000000000001,0.0215
15,18,7.580000000000001,0.03250000000000001
15,19,8.909999999956998,0.04000000000000001
15,20,8.190000000000001,0.04750000000000002
15,21,7.790000000000001,0.04300000000000002
15,22,6.909999999958501,0.053000000000000005
15,23,6.299999999999999,0.06650000000000002
15,24,5.8950000000000005,0.07500000000000002
15,25,5.385,0.08550000000000003
15,26,5.294999999999999,0.08300000000000003
15,27,4.835,0.08700000000000002
15,28,4.740000000000001,0.15549999999999997
15,29,4.755,0.11900000000000002
15,30,4.3050000000000015,0.11350000000000002
15,31,4.470000000000001,0.14450000000000005
15,32,4.735,0.32449999999999996
15,33,4.5600000000000005,0.11800000000000002
15,34,4.514999999999999,0.1155
15,35,4.275,0.1295
15,36,4.425000000000001,0.17549999999999996
15,37,4.680000000000001,0.20750000000000007
15,38,4.665,0.16099999999999998
15,39,4.350000000000001,0.21350000000000002
15,40,4.425,0.14650000000000002
16,10,0.0,0.0
16,11,0.0,0.0
16,12,0.0,0.0
16,13,0.0,0.0
16,14,0.0,0.0
16,15,0.0,0.0
16,16,0.465,0.0015
16,17,4.08,0.015
16,18,7.425,0.032
16,19,7.744999999946998,0.10300000000000001
16,20,8.259999999999998,0.05150000000000001
16,21,7.445,0.042000000000000016
16,22,7.160000000000001,0.055500000000000015
16,23,6.7599999999595015,0.17350000000000004
16,24,5.940000000000001,0.05800000000000002
16,25,5.34,0.07000000000000002
16,26,5.085,0.07600000000000003
16,27,4.819999999999999,0.12350000000000005
16,28,4.474999999972999,0.2705
16,29,4.380000000000001,0.27349999999999997
16,30,4.170000000000001,0.13299999999999998
16,31,4.365,0.19200000000000006
16,32,4.335000000000001,0.1525
16,33,4.3500000000000005,0.172
16,34,4.3500000000000005,0.14550000000000002
16,35,4.49,0.1525
16,36,4.335000000000002,0.13000000000000006
16,37,4.574999999975499,0.15150000000000002
16,38,4.245000000000001,0.12050000000000001
16,39,4.245,0.254
16,40,4.305000000000001,0.19899999999999998
17,10,0.0,0.0
17,11,0.0,0.0
17,12,0.0,0.0
17,13,0.0,0.0
17,14,0.0,0.0
17,15,0.0,0.0
17,16,1.05,0.003
