endurance,objective_value,elapsed_time
1,,0.0
11,,0.0
21,,0.03
31,6.900000000000001,0.03
41,11.4,0.03
51,11.400000000000002,0.11
61,6.9,0.03
71,12.3,0.08
81,8.4,0.03
91,7.200000000000001,0.03
