n_drones,endurance,objective_value,elapsed_time
3,10,0.0,0.0
3,11,0.0,0.0
3,12,0.0,0.0
3,13,0.0,0.0
3,14,0.0,0.0
3,15,0.0,0.0
3,16,0.0,0.0
3,17,0.0,0.0
3,18,0.0,0.0
3,19,0.0,0.0
3,20,0.0,0.0
3,21,0.0,0.0
3,22,0.0,0.0
3,23,0.0,0.0
3,24,0.0,0.0
3,25,0.0,0.0
3,26,0.0,0.0
3,27,0.0,0.0
3,28,0.0,0.0
3,29,0.0,0.0
3,30,0.0,0.0
3,31,0.0,0.0
3,32,0.0,0.0
3,33,0.0,0.0
3,34,0.0,0.0
3,35,0.0,0.0
3,36,0.0,0.0
3,37,0.0,0.0
3,38,0.0,0.0
3,39,0.0,0.0
3,40,0.0,0.0
3,41,0.0,0.0
3,42,0.0,0.0
3,43,0.0,0.0
3,44,0.0,0.0
3,45,0.0,0.0
3,46,0.0,0.0
3,47,0.0,0.0
3,48,0.0,0.0
3,49,0.0,0.0
3,50,0.0,0.0
3,51,0.0,0.0
3,52,0.0,0.0
3,53,0.0,0.0
3,54,0.0,0.0
3,55,0.0,0.0
3,56,0.0,0.0
3,57,0.0,0.0
3,58,0.0,0.0
3,59,0.0,0.0
3,60,0.0,0.0
4,10,0.0,0.0
4,11,0.0,0.0
4,12,0.0,0.0
4,13,0.0,0.0
4,14,0.0,0.0
4,15,0.0,0.0
4,16,0.0,0.0
4,17,0.0,0.0
4,18,0.0,0.0
4,19,0.0,0.0
4,20,0.0,0.0
4,21,0.0,0.0
4,22,0.0,0.0
4,23,0.0,0.0
4,24,0.0,0.0
4,25,1.4000000000000001,0.005
4,26,1.4600000000000002,0.014000000000000002
4,27,5.540000000000001,0.03
4,28,9.23,0.047
4,29,6.44,0.046
4,30,12.160000000000002,0.134
4,31,12.319999999999999,0.13099999999999998
4,32,14.180000000000001,0.14700000000000002
4,33,14.65,0.178
4,34,15.170000000000002,0.152
4,35,17.150000000000002,0.191
4,36,17.810000000000002,0.19
4,37,16.130000000000003,0.21200000000000002
4,38,16.15,0.244
4,39,16.35,0.29
4,40,16.88,0.306
4,41,15.430000000000001,0.289
4,42,15.6,0.28200000000000003
4,43,17.6,0.277
4,44,14.8,0.30800000000000005
4,45,14.719999999999999,0.336
4,46,16.970000000000002,0.349
4,47,14.819999999999999,0.314
4,48,15.930000000000003,0.346
4,49,17.160000000000004,0.35600000000000004
4,50,15.720000000000004,0.32599999999999996
4,51,15.140000000000004,0.38299999999999995
4,52,17.910000000000004,0.35300000000000004
4,53,15.570000000000002,0.38
4,54,14.780000000000001,0.4
4,55,16.38,0.42400000000000004
4,56,15.430000000000001,0.441
4,57,16.749999999999996,0.433
4,58,15.560000000000006,0.357
4,59,14.87,0.383
4,60,16.880000000000003,0.409
5,10,0.0,0.0
5,11,0.0,0.0
5,12,0.0,0.0
5,13,0.0,0.0
5,14,0.0,0.0
5,15,0.0,0.0
5,16,0.0,0.0
5,17,0.0,0.0
5,18,0.0,0.0
5,19,0.0,0.0
5,20,0.0,0.0
5,21,3.0300000000000002,0.013000000000000001
5,22,6.01,0.031
5,23,5.99,0.072
5,24,9.38,0.095
5,25,7.31,0.079
5,26,12.539999999999997,0.188
5,27,13.95,0.22000000000000003
5,28,12.780000000000001,0.223
5,29,11.540000000000001,0.202
5,30,12.459999999999999,0.205
5,31,12.969999999999999,0.29500000000000004
5,32,12.080000000000002,0.255
5,33,11.84,0.251
5,34,11.6,0.23699999999999996
5,35,11.22,0.321
5,36,10.89,0.24100000000000002
5,37,12.26,0.269
5,38,12.1,0.31499999999999995
5,39,11.96,0.342
5,40,12.939999999999998,0.33799999999999997
5,41,11.680000000000001,0.33999999999999997
5,42,11.52,0.335
5,43,11.500000000000002,0.387
5,44,11.970000000000002,0.41400000000000003
5,45,11.379999999999999,0.331
5,46,12.250000000000002,0.403
5,47,11.31,0.39699999999999996
5,48,11.690000000000001,0.40700000000000003
5,49,11.23,0.36300000000000004
5,50,12.15,0.414
5,51,11.99,0.394
5,52,12.15,0.421
5,53,11.46,0.374
5,54,12.370000000000001,0.483
5,55,11.290000000000003,0.3859999999999999
5,56,11.39,0.378
5,57,11.45,0.376
5,58,11.290000000000001,0.38
5,59,11.629999999999999,0.42400000000000004
5,60,12.23,0.425
6,10,0.0,0.0
6,11,0.0,0.0
6,12,0.0,0.0
6,13,0.0,0.0
6,14,0.0,0.0
6,15,0.0,0.0
6,16,0.0,0.0
6,17,0.0,0.0
6,18,1.6200000000000003,0.008
6,19,4.23,0.038
6,20,5.280000000000001,0.034
6,21,6.99,0.053000000000000005
6,22,12.8,0.08099999999999999
6,23,11.120000000000001,0.1
6,24,10.469999999999999,0.092
6,25,10.840000000000002,0.12700000000000003
6,26,11.130000000000003,0.14900000000000002
6,27,10.82,0.187
6,28,10.440000000000001,0.16599999999999998
6,29,8.55,0.187
6,30,9.360000000000001,0.24099999999999996
6,31,9.08,0.22200000000000003
6,32,9.31,0.27599999999999997
6,33,8.82,0.23499999999999996
6,34,9.42,0.265
6,35,8.290000000000001,0.251
6,36,9.32,0.229
6,37,8.670000000000002,0.20600000000000002
6,38,9.840000000000003,0.279
6,39,9.660000000000002,0.24400000000000005
6,40,8.709999999999999,0.246
6,41,8.620000000000001,0.219
6,42,8.77,0.293
6,43,9.72,0.33699999999999997
6,44,9.09,0.29000000000000004
6,45,9.17,0.314
6,46,8.690000000000001,0.24400000000000005
6,47,9.08,0.29
6,48,8.8,0.238
6,49,8.26,0.20800000000000002
6,50,9.020000000000003,0.25200000000000006
6,51,9.18,0.29300000000000004
6,52,10.2,0.396
6,53,9.170000000000002,0.28300000000000003
6,54,9.34,0.295
6,55,9.05,0.258
6,56,8.7,0.23500000000000001
6,57,9.649999999999999,0.26899999999999996
6,58,9.2,0.31100000000000005
6,59,9.81,0.31599999999999995
6,60,8.9,0.288
